Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
Kentucky,US,6/13/2020,37.52333168,-83.31959161,3,0,0,3,0
Kentucky,US,6/13/2020,37.77377239,-86.42885017,23,2,0,21,0
Iowa,US,6/13/2020,42.77461496,-92.31795937,74,6,0,68,0
Florida,US,6/13/2020,28.29409504,-80.73091022,541,15,0,526,0
Texas,US,6/13/2020,29.81008251,-103.25203259999999,4,0,0,4,0
Texas,US,6/13/2020,34.53026962,-101.2084947,1,0,0,1,0
Massachusetts,US,6/13/2020,41.79228404,-71.10872211,7906,507,0,7399,0
Rhode Island,US,6/13/2020,41.71018079,-71.28652315,231,0,0,231,0
Virginia,US,6/13/2020,36.616302399999995,-82.16359122,4,0,0,4,0
Montana,US,6/13/2020,46.33277565,-111.49558130000001,4,0,0,4,0
West Virginia,US,6/13/2020,40.27367263,-80.57915332,5,0,0,5,0
South Dakota,US,6/13/2020,44.36974375,-96.79079945,26,0,0,26,0
Georgia,US,6/13/2020,30.83922642,-83.58303423,93,10,0,83,0
Texas,US,6/13/2020,27.03103197,-98.21808402,1,0,0,1,0
New York,US,6/13/2020,42.15903158,-75.81326086,647,52,0,595,0
Colorado,US,6/13/2020,39.95998787,-105.0566324,264,28,0,236,0
Florida,US,6/13/2020,26.15184651,-80.48725556,8864,357,0,8507,0
Illinois,US,6/13/2020,39.96209138,-90.75068024,10,0,0,10,0
Indiana,US,6/13/2020,39.19605589,-86.22868909,36,1,0,35,0
Kansas,US,6/13/2020,39.82652589,-95.56421698,10,0,0,10,0
Minnesota,US,6/13/2020,44.24205652,-94.72562874,19,2,0,17,0
Ohio,US,6/13/2020,38.93416837,-83.86788395,38,1,0,37,0
South Dakota,US,6/13/2020,45.58994323,-98.35165355,310,2,0,308,0
Texas,US,6/13/2020,31.77430356,-98.99907113,60,10,0,50,0
Wisconsin,US,6/13/2020,44.452655299999996,-88.00411844,2458,38,0,2420,0
South Dakota,US,6/13/2020,43.71756379,-99.08118954,9,0,0,9,0
North Carolina,US,6/13/2020,34.070565,-78.22814204,206,3,0,203,0
Virginia,US,6/13/2020,36.76366949,-77.8593436,46,1,0,45,0
Georgia,US,6/13/2020,32.00979311,-81.44002948,85,5,0,80,0
Oklahoma,US,6/13/2020,33.96472458,-96.25903472,48,1,0,47,0
Iowa,US,6/13/2020,42.4709188,-91.83510825,35,1,0,34,0
Missouri,US,6/13/2020,39.65816401,-94.80138942,784,2,0,782,0
Virginia,US,6/13/2020,37.26818323,-82.03749726,18,0,0,18,0
Virginia,US,6/13/2020,37.57242268,-78.52518834,519,3,0,516,0
Pennsylvania,US,6/13/2020,40.33682119,-75.10836643,5419,542,0,4877,0
Iowa,US,6/13/2020,42.73545875,-95.15100162,1563,6,0,1557,0
Virginia,US,6/13/2020,37.73484642,-79.35296097,12,0,0,12,0
Nebraska,US,6/13/2020,40.85486962,-99.07500296,177,1,0,176,0
South Dakota,US,6/13/2020,44.07657829,-99.20814467,47,0,0,47,0
Wisconsin,US,6/13/2020,44.37835084,-91.75332578,7,2,0,5,0
Kentucky,US,6/13/2020,37.97162523,-85.68955617,131,4,0,127,0
Georgia,US,6/13/2020,32.39577406,-81.74811421,95,3,0,92,0
Alabama,US,6/13/2020,32.10030533,-85.71265535,276,8,0,268,0
North Carolina,US,6/13/2020,35.61113393,-82.53305,439,34,0,405,0
Illinois,US,6/13/2020,41.40385234,-89.5283051,23,1,0,22,0
Georgia,US,6/13/2020,33.05917989,-81.99928721,125,6,0,119,0
North Carolina,US,6/13/2020,35.74989637,-81.70755735,775,18,0,757,0
North Dakota,US,6/13/2020,48.79094471,-102.51821170000001,5,0,0,5,0
North Dakota,US,6/13/2020,46.97847375,-100.46452140000001,159,0,0,159,0
Texas,US,6/13/2020,30.49273808,-96.62158484,41,0,0,41,0
New Jersey,US,6/13/2020,39.87681124,-74.66927768,4866,356,0,4510,0
Texas,US,6/13/2020,30.78801353,-98.181887,61,1,0,60,0
Wisconsin,US,6/13/2020,45.86303537,-92.36711412,2,1,0,1,0
Nebraska,US,6/13/2020,41.85056773,-96.32605633,9,0,0,9,0
Alabama,US,6/13/2020,31.75300095,-86.68057478,517,25,0,492,0
Iowa,US,6/13/2020,42.73172833,-92.79015971,20,2,0,18,0
Kansas,US,6/13/2020,37.78134351,-96.83878537,37,0,0,37,0
Kentucky,US,6/13/2020,37.20946153,-86.68748787,243,13,0,230,0
Missouri,US,6/13/2020,36.71462476,-90.40421163,41,0,0,41,0
Nebraska,US,6/13/2020,41.22703692,-97.13106306,51,0,0,51,0
Ohio,US,6/13/2020,39.44012838,-84.57388716,1080,33,0,1047,0
Pennsylvania,US,6/13/2020,40.91152759,-79.91351055,257,12,0,245,0
California,US,6/13/2020,39.66727762,-121.6005252,74,1,0,73,0
South Dakota,US,6/13/2020,44.90608745,-103.5079318,0,0,0,0,0
Georgia,US,6/13/2020,33.283094500000004,-83.95435040000002,243,31,0,212,0
North Carolina,US,6/13/2020,35.3877799,-80.55267168,686,25,0,661,0
West Virginia,US,6/13/2020,38.42424062,-82.23855912,71,0,0,71,0
Louisiana,US,6/13/2020,32.57991587,-93.88375652,2830,213,0,2617,0
Oklahoma,US,6/13/2020,35.17364557,-98.37534464,175,10,0,165,0
California,US,6/13/2020,38.20537103,-120.55291299999999,26,0,0,26,0
Louisiana,US,6/13/2020,30.22931235,-93.35400434,741,51,0,690,0
Kentucky,US,6/13/2020,37.14749129,-87.86948214,12,0,0,12,0
Louisiana,US,6/13/2020,32.0902519,-92.11752148,79,1,0,78,0
Missouri,US,6/13/2020,39.65620858,-93.98308093,7,0,0,7,0
North Carolina,US,6/13/2020,35.95204977,-81.54799522,240,3,0,237,0
Texas,US,6/13/2020,29.83668859,-97.61814775,95,0,0,95,0
Vermont,US,6/13/2020,44.46548598,-72.10314651,16,0,0,16,0
Alabama,US,6/13/2020,33.77483727,-85.82630386,190,3,0,187,0
Florida,US,6/13/2020,30.40666734,-85.19394153,66,5,0,61,0
Georgia,US,6/13/2020,31.53169785,-84.62725131,146,6,0,140,0
Illinois,US,6/13/2020,39.16840183,-90.66330078,1,0,0,1,0
Iowa,US,6/13/2020,42.38521079,-94.64046046,20,0,0,20,0
Michigan,US,6/13/2020,42.24633834,-85.00493569,484,27,0,457,0
Mississippi,US,6/13/2020,33.93683395,-89.33686647,78,4,0,74,0
South Carolina,US,6/13/2020,33.66926881,-80.77722168,30,1,0,29,0
Texas,US,6/13/2020,28.47048236,-96.61633945,46,3,0,43,0
West Virginia,US,6/13/2020,38.84315422,-81.11934872,2,0,0,2,0
Texas,US,6/13/2020,32.29760619,-99.37326312,13,2,0,11,0
Missouri,US,6/13/2020,38.83674754,-91.92186505,36,1,0,35,0
Kentucky,US,6/13/2020,36.62093411,-88.2731593,57,1,0,56,0
Wisconsin,US,6/13/2020,44.0816316,-88.21780273,86,2,0,84,0
Maryland,US,6/13/2020,38.53961642,-76.56820632,373,21,0,352,0
Idaho,US,6/13/2020,43.46665742,-114.8065892,1,0,0,1,0
Pennsylvania,US,6/13/2020,40.49527404,-78.71377428,61,3,0,58,0
Georgia,US,6/13/2020,30.92951916,-81.66601818,73,1,0,72,0
Missouri,US,6/13/2020,38.02199522,-92.76083747,38,1,0,37,0
New Jersey,US,6/13/2020,39.80343818,-74.96388753,6986,405,0,6581,0
North Carolina,US,6/13/2020,36.33804939,-76.15568396,6,0,0,6,0
Louisiana,US,6/13/2020,29.87592238,-93.19310676,11,0,0,11,0
Pennsylvania,US,6/13/2020,41.43625568,-78.20376845,2,0,0,2,0
Texas,US,6/13/2020,26.14524221,-97.48140372,1081,44,0,1037,0
Texas,US,6/13/2020,32.97195142,-94.97790104,105,1,0,104,0
Kentucky,US,6/13/2020,38.94384345,-84.37875208,207,12,0,195,0
Tennessee,US,6/13/2020,36.40355516,-84.15108559999999,24,1,0,23,0
Virginia,US,6/13/2020,37.20553386,-79.09678609,23,1,0,22,0
Wyoming,US,6/13/2020,44.24886082,-105.54744040000001,41,0,0,41,0
Oklahoma,US,6/13/2020,35.5426055,-97.98465569,148,3,0,145,0
Georgia,US,6/13/2020,32.40209349,-82.07702563,17,0,0,17,0
Tennessee,US,6/13/2020,35.80990797,-86.05738983,34,0,0,34,0
Idaho,US,6/13/2020,43.61970148,-116.70954990000001,356,6,0,350,0
